"label","n","parent","id"
"Canada",177,"total -  Comedy","total -  Comedy  -  Canada"
"Canada",146,"total -  Crime","total -  Crime  -  Canada"
"Canada",33,"total -  Documentary","total -  Documentary  -  Canada"
"Canada",276,"total -  Drama","total -  Drama  -  Canada"
"Canada",25,"total -  Family","total -  Family  -  Canada"
"Canada",40,"total -  Fantasy","total -  Fantasy  -  Canada"
"Canada",3,"total -  Film Noir","total -  Film Noir  -  Canada"
"Canada",8,"total -  Game Show","total -  Game Show  -  Canada"
"Canada",4,"total -  History","total -  History  -  Canada"
"Canada",32,"total -  Horror","total -  Horror  -  Canada"
"Canada",54,"total -  Mystery","total -  Mystery  -  Canada"
"Canada",32,"total -  Reality TV","total -  Reality TV  -  Canada"
"Canada",85,"total -  Romance","total -  Romance  -  Canada"
"Canada",32,"total -  Sci Fi","total -  Sci Fi  -  Canada"
"Canada",12,"total -  Sport","total -  Sport  -  Canada"
"Canada",9,"total -  Talk Show","total -  Talk Show  -  Canada"
"Canada",69,"total -  Thriller","total -  Thriller  -  Canada"
"Canada",5,"total -  War","total -  War  -  Canada"
"Canada",4,"total -  Western","total -  Western  -  Canada"
"Chile",133,"total -  Action","total -  Action  -  Chile"
"Chile",1,"total -  Adult","total -  Adult  -  Chile"
"Chile",123,"total -  Adventure","total -  Adventure  -  Chile"
"Chile",72,"total -  Animation","total -  Animation  -  Chile"
"Chile",3,"total -  Biography","total -  Biography  -  Chile"
"Chile",197,"total -  Comedy","total -  Comedy  -  Chile"
"Chile",98,"total -  Crime","total -  Crime  -  Chile"
"Chile",13,"total -  Documentary","total -  Documentary  -  Chile"
"Chile",330,"total -  Drama","total -  Drama  -  Chile"
"Chile",16,"total -  Family","total -  Family  -  Chile"
"Chile",31,"total -  Fantasy","total -  Fantasy  -  Chile"
"Chile",2,"total -  Film Noir","total -  Film Noir  -  Chile"
"Chile",3,"total -  History","total -  History  -  Chile"
"Chile",28,"total -  Horror","total -  Horror  -  Chile"
"Chile",37,"total -  Music","total -  Music  -  Chile"
"Chile",1,"total -  Musical","total -  Musical  -  Chile"
"Chile",38,"total -  Mystery","total -  Mystery  -  Chile"
"Chile",2,"total -  Reality TV","total -  Reality TV  -  Chile"
"Chile",118,"total -  Romance","total -  Romance  -  Chile"
"Chile",17,"total -  Sci Fi","total -  Sci Fi  -  Chile"
"Chile",10,"total -  Sport","total -  Sport  -  Chile"
"Chile",9,"total -  Talk Show","total -  Talk Show  -  Chile"
"Chile",55,"total -  Thriller","total -  Thriller  -  Chile"
"Chile",3,"total -  War","total -  War  -  Chile"
