"id","n","label","parent"
"total -  Drama  -  Jamaica",286,"Jamaica","total -  Drama"
"total -  Fantasy  -  Jamaica",50,"Jamaica","total -  Fantasy"
"total -  Mystery  -  Jamaica",37,"Jamaica","total -  Mystery"
"total -  Romance  -  Jamaica",80,"Jamaica","total -  Romance"
"total -  Thriller  -  Jamaica",85,"Jamaica","total -  Thriller"
"total -  Action  -  Japan",219,"Japan","total -  Action"
"total -  Adventure  -  Japan",156,"Japan","total -  Adventure"
"total -  Animation  -  Japan",92,"Japan","total -  Animation"
"total -  Comedy  -  Japan",158,"Japan","total -  Comedy"
"total -  Crime  -  Japan",98,"Japan","total -  Crime"
"total -  Drama  -  Japan",275,"Japan","total -  Drama"
"total -  Fantasy  -  Japan",38,"Japan","total -  Fantasy"
"total -  Horror  -  Japan",38,"Japan","total -  Horror"
"total -  Mystery  -  Japan",41,"Japan","total -  Mystery"
"total -  Romance  -  Japan",169,"Japan","total -  Romance"
"total -  Thriller  -  Japan",66,"Japan","total -  Thriller"
"total -  Action  -  Jordan",204,"Jordan","total -  Action"
"total -  Adventure  -  Jordan",102,"Jordan","total -  Adventure"
"total -  Comedy  -  Jordan",144,"Jordan","total -  Comedy"
"total -  Crime  -  Jordan",131,"Jordan","total -  Crime"
"total -  Drama  -  Jordan",367,"Jordan","total -  Drama"
"total -  Fantasy  -  Jordan",42,"Jordan","total -  Fantasy"
"total -  Horror  -  Jordan",31,"Jordan","total -  Horror"
"total -  Mystery  -  Jordan",37,"Jordan","total -  Mystery"
"total -  Romance  -  Jordan",167,"Jordan","total -  Romance"
"total -  Thriller  -  Jordan",70,"Jordan","total -  Thriller"
"total -  Action  -  Kenya",207,"Kenya","total -  Action"
"total -  Adventure  -  Kenya",95,"Kenya","total -  Adventure"
"total -  Comedy  -  Kenya",177,"Kenya","total -  Comedy"
"total -  Crime  -  Kenya",144,"Kenya","total -  Crime"
"total -  Drama  -  Kenya",332,"Kenya","total -  Drama"
"total -  Fantasy  -  Kenya",35,"Kenya","total -  Fantasy"
"total -  Mystery  -  Kenya",52,"Kenya","total -  Mystery"
